project_id,project_name,start_date,end_date,budget_sar,status,priority,completion_pct,project_manager_email
PRJ-2076,Initiative 77,2025-03-05,2025-10-02,-709260,Cancelled,High,74%,pm5@company.com
PRJ-2077,Initiative 78,2024-07-12,2025-02-23,623231,COMPLETED,High,33%,pm4@company.com
PRJ-2078,Initiative 79,2024-02-13,2024-10-18,1377710,active,High,12%,pm11@company.com
PRJ-2079,Initiative 80,2025-01-12,2025-10-29,1839296,COMPLETED,Low,44%,pm16@company.com
PRJ-2080,Initiative 81,2025-10-28,2026-06-03,1925273,COMPLETED,high,30%,pm13@company.com
PRJ-2081,Initiative 82,2026-03-10,2026-09-10,1999260,COMPLETED,Low,8%,n/a
PRJ-2082,Initiative 83,2024-01-25,2024-12-18,1989400,COMPLETED,high,22%,pm3@company.com
PRJ-2083,Initiative 84,2025-09-19,2026-03-31,1935561,Active,Medium,32%,n/a
PRJ-2084,Initiative 85,2025-07-06,2025-11-15,1922419,Cancelled,High,64%,n/a
PRJ-2085,Initiative 86,2026-03-24,,1557882,Active,Medium,24%,pm1@company.com
PRJ-2086,Initiative 87,2025-09-22,2026-05-17,1328815,Cancelled,Low,43%,pm20@company.com
PRJ-2087,Initiative 88,2025-03-29,2025-09-06,,Cancelled,Low,3%,pm1@company.com
PRJ-2088,Initiative 89,2023-11-16,2024-04-01,349175,Cancelled,Medium,11%,pm20@company.com
PRJ-2089,Initiative 90,2026-03-23,,532351,COMPLETED,med,33%,pm15@company.com
